Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Order Date,Year,Month,Day,DayOfWeek,Hour,Shipping Pressure Index,Order Complexity Score,Discount Risk Score,High Value Order Flag,Express Shipment Flag,International Shipment Flag,Geographical Distance,Regional Congestion Index,Route Congestion Index,Customer Reliability Score,Historical Shipping Efficiency Gap,Risk_Probability,Risk_Level,Risk_Priority_Index,Revenue_at_Risk,SLA_Risk_Index,Intervention_Score
PAYMENT,4,2,9.7,35.78,Late delivery,1,75,Video Games,Caguas,Puerto Rico,Jorden,20306,Atkinson,Consumer,PR,529 Blue Grove Rise,725,9,Discs Shop,18.28887367,-66.03705597,Pacific Asia,Brisbane,Australia,20306,3.98,0.1,39.75,0.27,1,39.75,35.78,9.7,Oceania,Queensland,PENDING_PAYMENT,Fighting video games,39.75,Second Class,2025-12-29 04:13:43.071383464,2025,12,29,0,12,1.8181818181818181,0.13096990476190476,0.1,0,0,1,17719.641272144534,0.5377740705433747,0.54986312084474,0.5472564747919194,1.9285714285714286,0.7394269121593257,High,9.68426722638962,29.392219758333194,44.36561472955954,5.637240076055839
CASH,4,4,25.88,112.5,Shipping on time,0,24,Women's Apparel,Dorchester Center,EE. UU.,Mary,12201,Burton,Consumer,MA,866 Burning Street,2124,5,Golf,42.32117081,-71.05672455,USCA,Vaughan,Canada,12201,37.5,0.25,50.0,0.23,3,150.0,112.5,25.88,Canada,Ontario,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,2025-11-13 23:09:52.335390376,2025,11,13,3,12,1.2903225806451613,0.19428571428571426,0.75,0,0,1,2915.6165782511575,0.4994487320837927,0.0,0.5472564747919194,-0.2766355140186916,0.037459668467865394,Low,0.7277878445185275,5.618950270179809,0.7491933693573078,0.6282521540181996
DEBIT,4,4,3.97,104.38,Shipping on time,0,17,Cleats,Caguas,Puerto Rico,Ruth,12324,Townsend,Home Office,PR,7342 Hazy Mews,725,4,Apparel,18.29429245,-66.37052918,LATAM,Morón,Cuba,12324,15.6,0.13,59.99,0.04,2,119.98,104.38,3.97,Caribbean,Ciego de Ávila,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,2025-11-21 00:13:57.589603248,2025,11,21,4,12,1.9047619047619047,0.17069180952380952,0.26,0,0,1,1254.083087271602,0.5293456543456544,0.5076698319941563,0.5472564747919194,-0.03653250773993808,0.4247175717432399,Medium,7.249581085741201,50.957614257753924,8.494351434864797,5.957289289761716
PAYMENT,2,2,-26.39,32.99,Shipping on time,0,75,Video Games,El Cajon,EE. UU.,Mikayla,17159,Burnett,Corporate,CA,6581 Lazy Forest Centre,92021,9,Discs Shop,32.80217743,-116.9388351,Pacific Asia,Shizuishan,China,17159,6.76,0.17,39.75,-0.8,1,39.75,32.99,-26.39,Eastern Asia,Ningxia Hui,PENDING_PAYMENT,Fighting video games,39.75,Second Class,2025-12-16 10:47:58.516269840,2025,12,16,1,12,1.8181818181818181,0.13022590476190474,0.17,0,0,1,11299.781433374435,0.5390693590869183,0.5074424898511503,0.5472564747919194,2.140667267808837,0.5515021432400543,Medium,7.181986558156566,21.922210193792157,33.09012859440326,4.188127234890155
CASH,3,4,-314.59,429.18,Advance shipping,0,66,Crafts,Katy,EE. UU.,Chantale,14800,Spencer,Corporate,TX,906 Green Treasure Limits,77450,4,Apparel,29.77441025,-95.74694824,Europe,Gronau,Alemania,14800,32.3,0.07,461.48,-0.73,1,461.48,429.18,-314.59,Western Europe,Renania del Norte-Westfalia,CLOSED,Porcelain crafts,461.48,Standard Class,2025-12-06 21:50:56.843084896,2025,12,6,5,12,3.6363636363636362,0.2358765714285714,0.07,0,0,1,8128.062607725038,0.5575533728387044,0.6153846153846154,0.5472564747919194,-0.007148806218767351,0.5393517262366411,Medium,12.722043597878036,248.90003462368514,10.787034524732821,20.022819516572323
DEBIT,2,4,7.48,43.98,Advance shipping,0,46,Indoor/Outdoor Games,Las Vegas,EE. UU.,Mary,12293,Smith,Consumer,NV,6764 Harvest View Point,89117,7,Fan Shop,36.06629562,-115.1725464,USCA,Orem,Estados Unidos,12293,6.0,0.12,49.98,0.17,1,49.98,43.98,7.48,West of USA,Utah,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,2025-11-19 09:53:46.754118696,2025,11,19,2,12,3.6363636363636362,0.1331565714285714,0.12,0,0,1,443.5797665748848,0.5406140691799456,0.6275303643724697,0.5472564747919194,-0.024119947848761408,0.26076121309460587,Low,3.4722069097232815,13.0328454304684,5.215224261892118,2.1708534897174165
DEBIT,2,4,12.27,37.76,Advance shipping,0,75,Video Games,Caguas,Puerto Rico,Debra,20274,Rosa,Consumer,PR,5995 Dusty Highway,725,9,Discs Shop,18.21186256,-66.03705597,Pacific Asia,Melbourne,Australia,20274,1.99,0.05,39.75,0.33,1,39.75,37.76,12.27,Oceania,Victoria,ON_HOLD,Fighting video games,39.75,Standard Class,2025-12-29 01:07:22.446736608,2025,12,29,0,12,3.6363636363636362,0.13149790476190476,0.05,0,0,1,17716.329307129825,0.5377740705433747,0.54986312084474,0.5472564747919194,0.004347826086956522,0.3797617117786246,Medium,4.99378694076835,15.095528043200328,7.595234235572493,2.9032464588993596
DEBIT,2,1,139.3,296.39,Late delivery,1,63,Children's Clothing,Dallas,EE. UU.,Veronica,13739,Everett,Consumer,TX,3977 Colonial Towers,75231,4,Apparel,32.87014008,-96.75692749,Europe,Dijon,Francia,13739,60.71,0.17,357.1,0.47,1,357.1,296.39,139.3,Western Europe,Borgoña-Franco Condado,COMPLETE,Children's heaters,357.1,First Class,2025-12-02 14:52:29.257137792,2025,12,2,1,12,0.9090909090909091,0.20046590476190473,0.17,0,1,1,7947.305144521125,0.5575533728387044,0.6778169014084507,0.5472564747919194,1.0,0.9753718125875873,High,19.55287928896297,348.30527427502744,78.02974500700698,28.719468172086835
PAYMENT,1,0,0.0,116.99,Late delivery,1,18,Men's Footwear,Visalia,EE. UU.,Ann,12216,Deleon,Consumer,CA,7191 Jagged Avenue,93277,4,Apparel,36.31933212,-119.2960815,LATAM,Santiago de los Caballeros,República Dominicana,12216,13.0,0.1,129.99,0.0,1,129.99,116.99,0.0,Caribbean,Santiago de Chile,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Same Day,2025-11-15 00:29:44.305166240,2025,11,15,5,12,0.0,0.15262590476190474,0.1,0,1,1,4334.0287622507985,0.5293456543456544,0.5871212121212122,0.5472564747919194,0.5316742081447964,0.5160878483056669,Medium,7.876837478427706,67.08625940125364,51.60878483056669,7.175910555446301
TRANSFER,6,2,0.0,188.95,Late delivery,1,29,Shop By Sport,Daly City,EE. UU.,Ralph,12347,Preston,Home Office,CA,7239 Emerald Bluff Downs,94014,5,Golf,37.69309616,-122.4649353,LATAM,Bogotá,Colombia,12347,11.0,0.06,39.99,0.0,5,199.95,188.95,0.0,South America,Bogotá,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Second Class,2025-11-22 07:52:20.203193032,2025,11,22,5,12,0.3921568627450981,0.2575295238095238,0.3,0,0,1,8756.569843481962,0.5434159972057283,0.511326860841424,0.5472564747919194,1.999259807549963,0.6038834614569257,Medium,15.551782026544902,120.74649811831229,36.233007687415544,13.465502697716698
CASH,4,4,40.9,204.52,Shipping on time,0,70,Men's Clothing,Mount Prospect,EE. UU.,Raya,16091,Noble,Consumer,IL,2036 High Creek Nook,60056,4,Apparel,42.04998016,-87.96906281,Pacific Asia,Melbourne,Australia,16091,6.33,0.03,210.85,0.2,1,210.85,204.52,40.9,Oceania,Victoria,CLOSED,Men's gala suit,210.85,Standard Class,2025-12-12 03:08:45.168681240,2025,12,12,4,12,3.6363636363636362,0.1759672380952381,0.03,0,0,1,15661.860373935373,0.5377740705433747,0.6058394160583942,0.5472564747919194,0.004347826086956522,0.4109910729418087,Medium,7.232096398736862,86.65746772978036,8.219821458836174,8.092286623281566
PAYMENT,2,1,51.03,188.99,Late delivery,1,48,Water Sports,Tempe,EE. UU.,Mary,12076,Smith,Home Office,AZ,6714 Cozy Wynd,85282,7,Fan Shop,33.40329361,-111.9140549,Europe,Krefeld,Alemania,12076,11.0,0.06,199.99,0.27,1,199.99,188.99,51.03,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,First Class,2025-11-07 04:47:35.303072264,2025,11,7,4,12,0.9090909090909091,0.17182590476190476,0.06,0,1,1,8837.085618371793,0.5575533728387044,0.5714285714285714,0.5472564747919194,1.0,0.9753718125875873,High,16.759414417712122,195.0646087993916,78.02974500700698,18.407642295048348
TRANSFER,2,1,1.45,120.89,Late delivery,1,18,Men's Footwear,San Jose,EE. UU.,Marie,12004,Martinez,Home Office,CA,62 Cozy Rabbit Villas,95125,4,Apparel,37.31164169,-121.8714294,LATAM,Villa Nueva,Guatemala,12004,9.1,0.07,129.99,0.01,1,129.99,120.89,1.45,Central America,Guatemala,PROCESSING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class,2025-11-02 22:12:25.295206016,2025,11,2,6,12,0.9090909090909091,0.15366590476190475,0.07,0,1,1,4542.150724920252,0.5460255656773435,0.6021978021978022,0.5472564747919194,1.0,0.8244401020112435,High,12.66883341975548,107.16896886044155,65.95520816089947,11.497671499528686
CASH,6,4,4.52,71.74,Late delivery,1,72,Pet Supplies,Caguas,Puerto Rico,TaShya,19203,Cain,Consumer,PR,3369 Clear Fox Landing,725,11,Pet Shop,18.25060272,-66.03705597,Pacific Asia,Manila,Filipinas,19203,12.66,0.15,84.4,0.06,1,84.4,71.74,4.52,Southeast Asia,Capital Nacional,CLOSED,Adult dog supplies,84.4,Standard Class,2025-12-24 17:10:40.915587360,2025,12,24,2,12,3.6363636363636362,0.14055923809523807,0.15,0,0,1,16843.79406191911,0.5534976682211858,0.5533333333333333,0.5472564747919194,-0.007599463567277604,0.3773336980809041,Medium,5.303773710991048,31.84696411802831,7.546673961618082,4.032327331478117
CASH,4,4,94.5,1260.0,Shipping on time,0,64,Computers,Caguas,Puerto Rico,Hillary,18106,Zimmerman,Corporate,PR,7770 Tawny Fox Circle,725,10,Technology,18.28920937,-66.0370636,Pacific Asia,Townsville,Australia,18106,240.0,0.16,1500.0,0.08,1,1500.0,1260.0,94.5,Oceania,Queensland,CLOSED,Dell Laptop,1500.0,Standard Class,2025-12-20 06:42:35.126912552,2025,12,20,5,12,3.6363636363636362,0.4574285714285714,0.16,1,0,1,17719.65490911319,0.5377740705433747,0.54986312084474,0.5472564747919194,0.004347826086956522,0.2228073918712796,Low,10.191846696740532,334.2110878069194,4.456147837425592,24.129403947111374
PAYMENT,2,1,10.73,39.75,Late delivery,1,75,Video Games,Caguas,Puerto Rico,Aileen,20063,Vincent,Home Office,PR,9439 Blue Range,725,9,Discs Shop,18.26579094,-66.03705597,Pacific Asia,Jalalabad,Afganistán,20063,0.0,0.0,39.75,0.27,1,39.75,39.75,10.73,South Asia,Nangarhar,PENDING_PAYMENT,Fighting video games,39.75,First Class,2025-12-28 04:38:40.202971448,2025,12,28,6,12,0.9090909090909091,0.1320285714285714,0.0,0,1,1,14153.66167376136,0.5609069585613761,0.5576923076923077,0.5472564747919194,1.0,0.9753718125875873,High,12.877694702763545,38.771029550356594,78.02974500700698,7.477339654126814
CASH,5,4,102.52,353.53,Late delivery,1,63,Children's Clothing,Simi Valley,EE. UU.,Destiny,17942,Lawson,Consumer,CA,4948 Colonial Village,93063,4,Apparel,34.26791382,-118.6712112,Pacific Asia,Manila,Filipinas,17942,3.57,0.01,357.1,0.29,1,357.1,353.53,102.52,Southeast Asia,Capital Nacional,CLOSED,Children's heaters,357.1,Standard Class,2025-12-19 14:47:34.425597448,2025,12,19,4,12,3.6363636363636362,0.2157032380952381,0.01,0,0,1,12907.894576857327,0.5534976682211858,0.548,0.5472564747919194,-0.007599463567277604,0.3773336980809041,Medium,8.139210051850194,134.74586358469088,7.546673961618082,11.34043583582153
DEBIT,5,2,90.47,347.97,Late delivery,1,31,Women's Golf Clubs,Roswell,EE. UU.,Larry,12263,Sullivan,Consumer,NM,9163 Blue Pike,88201,6,Outdoors,33.42520142,-104.5220795,LATAM,Maceió,Brasil,12263,51.99,0.13,99.99,0.26,4,399.96,347.97,90.47,South America,Alagoas,COMPLETE,TaylorMade White Smoke IN-12 Putter,99.99,Second Class,2025-11-17 14:24:58.009062808,2025,11,17,0,12,0.48780487804878053,0.2785062857142857,0.52,0,0,1,7160.065789993179,0.5434159972057283,0.4482758620689655,0.5472564747919194,1.999259807549963,0.7194374984710391,High,20.03678655027462,287.7462218884768,43.166249908262344,25.27948793341845
TRANSFER,2,2,1.93,25.8,Shipping on time,0,59,Books,La Puente,EE. UU.,Jael,12654,Warner,Corporate,CA,4845 Thunder Embers Hollow,91744,8,Book Shop,34.02830887,-117.9406891,Europe,Paris,Francia,12654,5.28,0.17,31.08,0.08,1,31.08,25.8,1.93,Western Europe,Isla de Francia,PROCESSING,Sports Books,31.08,Second Class,2025-11-28 05:34:16.202705544,2025,11,28,4,12,1.8181818181818181,0.1283085714285714,0.17,0,0,1,9118.530069709948,0.5575533728387044,0.5535035306898425,0.5472564747919194,2.0672708962739175,0.6039327244536294,Medium,7.748974511361024,18.7702290760188,36.235963467217765,4.225803549105538
TRANSFER,2,1,18.18,206.63,Late delivery,1,70,Men's Clothing,Stamford,EE. UU.,Marah,16038,Flynn,Consumer,CT,4715 Cotton Anchor Towers,6902,4,Apparel,41.0539093,-73.54837036,Pacific Asia,Yangzhou,China,16038,4.22,0.02,210.85,0.09,1,210.85,206.63,18.18,Eastern Asia,Jiangsu,PROCESSING,Men's gala suit,210.85,First Class,2025-12-11 22:00:07.259109888,2025,12,11,3,12,0.9090909090909091,0.17652990476190475,0.02,0,1,1,11556.976584342607,0.5390693590869183,0.6756756756756757,0.5472564747919194,1.0,0.7041595584822732,High,12.430521979606059,148.4720429059873,56.33276467858185,13.880531366201662
CASH,3,2,29.12,103.99,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Mary,12358,Powers,Home Office,PR,8713 Easy Circuit,725,4,Apparel,18.25589371,-66.37059784,Pacific Asia,Shanghái,China,12358,26.0,0.2,129.99,0.28,1,129.99,103.99,29.12,Eastern Asia,Shanghái,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,2025-11-22 20:46:49.674381496,2025,11,22,5,12,1.8181818181818181,0.2816491428571428,0.2,0,0,1,14023.567881469224,0.5390693590869183,0.5389150943396226,0.5472564747919194,2.140667267808837,0.7300783218346771,High,20.562593356331806,94.90288105528968,43.804699310080636,13.919210205850103
CASH,2,2,63.53,195.49,Shipping on time,0,71,Music,Caguas,Puerto Rico,Chava,16279,Suarez,Consumer,PR,8798 Lost Lookout,725,9,Discs Shop,18.2924099,-66.0370636,Pacific Asia,Suzhou,China,16279,65.16,0.25,260.65,0.33,1,260.65,195.49,63.53,Eastern Asia,Gansu,CLOSED,Rock music,260.65,Second Class,2025-12-12 21:23:31.338481480,2025,12,12,4,12,1.8181818181818181,0.1735592380952381,0.25,0,0,1,14014.098573025982,0.5390693590869183,0.5389150943396226,0.5472564747919194,2.140667267808837,0.673167864548355,Medium,11.683450168121093,175.46120389452872,40.3900718729013,15.20105230092016
DEBIT,4,4,33.9,299.99,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,Kathleen,12147,Smith,Corporate,PR,8824 Lazy Sky Grove,725,7,Fan Shop,18.23033333,-66.37058258,Pacific Asia,Ulsan,Corea del Sur,12147,100.0,0.25,399.98,0.11,1,399.98,299.99,33.9,Eastern Asia,Ulsan,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,2025-11-11 04:29:18.300003320,2025,11,11,1,12,3.6363636363636362,0.20142590476190475,0.25,0,0,1,14026.37672036557,0.5390693590869183,0.5815602836879432,0.5472564747919194,-0.03236894872529361,0.22919165105136619,Low,4.616513567689619,91.67207658752545,4.583833021027324,7.346930022327375
CASH,3,2,-7.59,128.69,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Andrea,12289,Price,Consumer,PR,6471 Dusty Limits,725,4,Apparel,18.2293911,-66.37052155,Pacific Asia,Rangún,Myanmar (Birmania),12289,1.3,0.01,129.99,-0.06,1,129.99,128.69,-7.59,Southeast Asia,Rangún,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,2025-11-19 03:41:05.504825000,2025,11,19,2,12,1.8181818181818181,0.15574590476190475,0.01,0,0,1,16850.94457954286,0.5534976682211858,0.6796116504854369,0.5472564747919194,1.9551192145862553,0.8031078347437278,High,12.508075634353618,104.39598743833719,48.18647008462367,11.266989500041678
DEBIT,2,1,51.67,178.17,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Jonathan,11997,Smith,Consumer,PR,7274 Hazy Villas,725,4,Apparel,18.27984619,-66.3705368,Pacific Asia,Sydney,Australia,11997,1.8,0.01,59.99,0.29,3,179.97,178.17,51.67,Oceania,Nueva Gales del Sur,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,First Class,2025-11-02 13:34:09.182906968,2025,11,2,6,12,0.3225806451612903,0.6736019047619047,0.03,0,1,1,17686.74166916624,0.5377740705433747,0.54986312084474,0.5472564747919194,1.0,0.9753718125875873,High,65.70123108100704,175.5376651113881,78.02974500700698,36.8127523390861
CASH,2,4,29.83,339.03,Advance shipping,0,62,Cameras,Amarillo,EE. UU.,Phoebe,13114,Mcintosh,Home Office,TX,5763 Crystal Alley,79109,10,Technology,35.18754196,-101.8676224,Europe,Zwolle,Países Bajos,13114,113.01,0.25,452.04,0.09,1,452.04,339.03,29.83,Western Europe,Overijssel,CLOSED,Web Camera,452.04,Standard Class,2025-11-30 02:12:57.682004008,2025,11,30,6,12,3.6363636363636362,0.2118365714285714,0.25,0,0,1,8085.242131813313,0.5575533728387044,0.6470588235294118,0.5472564747919194,-0.007148806218767351,0.7174433045474297,High,15.198072982971189,324.31307138762014,14.348866090948594,25.538013476445684
DEBIT,6,4,-7.93,118.29,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Michael,12262,Gray,Consumer,PR,2781 Old Cove,725,4,Apparel,18.24464989,-66.37052155,USCA,Louisville,Estados Unidos,12262,11.7,0.09,129.99,-0.07,1,129.99,118.29,-7.93,South of  USA,Kentucky,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,2025-11-17 12:51:47.696739384,2025,11,17,0,12,3.6363636363636362,0.28772914285714285,0.09,0,0,1,2478.3253511316248,0.5534738485558157,0.5494128074451584,0.5472564747919194,-0.03138815207780725,0.373534446652304,Medium,10.747674616288458,48.555742720333,7.47068893304608,7.212414409735363
DEBIT,2,1,149.12,310.68,Late delivery,1,63,Children's Clothing,Caguas,Puerto Rico,Paloma,13940,Valdez,Home Office,PR,3405 Golden Bear Swale,725,4,Apparel,18.20445633,-66.03705597,Europe,Bochum,Alemania,13940,46.42,0.13,357.1,0.48,1,357.1,310.68,149.12,Western Europe,Renania del Norte-Westfalia,COMPLETE,Children's heaters,357.1,First Class,2025-12-03 10:22:57.555700816,2025,12,3,2,12,0.9090909090909091,0.20427657142857142,0.13,0,1,1,6891.005334069021,0.5575533728387044,0.5551341890315052,0.5472564747919194,1.0,0.9753718125875873,High,19.924560974346345,348.30527427502744,78.02974500700698,28.868140846240184
